label,message,year
normal,Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.,2014
normal,If you have belive me. Come to my home.,2011
normal,i cant talk to you now.i will call when i can.dont keep calling.,2015
normal,"whatever, im pretty pissed off.",2014
normal,"If he tried to blackmail me, I would inform you.",2014
normal,"I am real, baby! I want to bring out your inner tigress...",2010
fraud,FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk.,2014
normal,"Awesome, think we can get an 8th at usefull some time tonight?",2013
fraud,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,2013
normal,Id onluy matters when getting on from offcampus,2013
normal,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL,2014
normal,cool. We will have fun practicing making babies!,2010
normal,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,2013
fraud,74355 XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC,2015
normal,"Yup, no need. I'll jus wait for e rain to stop.",2015
normal,I am not sure about night menu. . . I know only about noon menu,2014
normal,You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.,2015
normal,I wrote a letter day before yesterday.,2012
normal,Do you know when dad will be back?,2015
normal,Did he just say somebody is named tampa,2010
normal,"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-(",2012
normal,Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.,2013
normal,Then what happened next?378. Then all of the sudden I heard a sound of a bullet.,2013
normal,ELLO BABE U OK?,2011
normal,Haha... Yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again,2013
normal,I am working at the Bosch Company.,2014
fraud,"Thanks for your ringtone order, ref number K718. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069120",2013
normal,Jesus armand really is trying to tell everybody he can find,2010
normal,Good Morning my Dear Shijutta........... Have a great &amp; successful day.,2013
normal,"It won't be until 2.15 as trying to sort house out, is that ok?",2012
normal,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?,2012
normal,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx",2010
normal,When you guys planning on coming over?,2011
normal,Moji just informed me that you saved our lives. Thanks.,2010
normal,Can you open the door?,2015
normal,S but not able to sleep.,2013
normal,Think you sent the text to the home phone. That cant display texts. If you still want to send it his number is,2010
normal,I want to be inside you every night...,2011
normal,Huh i cant thk of more oredi how many pages do we have?,2011
normal,", how's things? Just a quick question.",2010
normal,You are gorgeous! keep those pix cumming :) thank you!,2012
normal,S:-)kallis wont play in first two odi:-),2015
normal,"This motherboard costs INR 17, 000. But we will give it to you for INR 15,800.",2015
normal,"Sun can't come to earth but send l as rays. cloud can't come to river but send luv as rain. I can't come to meet you, but can send my care as message to you. Good evning.",2010
normal,THANKS TODAY CERe IT WAS NICE to CATCH UP BUT WE AVE to FIND MORE TIME MORE OFTEN OH WELL TAKE CARE see you SOON.,2012
fraud,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app ,2015
fraud,As a registered optin subscriber ur draw 4 £100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts,2014
normal,"No can't help you there, I've never had an iphone.",2013
normal,Thank you!,2015
normal,Have you finished work yet?,2010
normal,ok what are detail you want to transfer?account number enough?,2012
normal,Lmao!nice 1,2014
normal,Wah lucky man... Then can save money... Hee...,2015
normal,Can you do online transaction?,2013
fraud,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117,2014
normal,You got job in wipro:)you will get every thing in life in 2 or 3 years.,2011
normal,All the newspapers are available here. ,2012
normal,No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,2015
normal,I've reached already.,2013
normal,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,2013
normal,You're gonna have to be way more specific than that,2015
normal,"These are here, sir.",2010
normal,I'm working technical support :)voice process.networking field.,2011
normal,I need details about that online job.,2010
normal,Would you WANNA DO THEN MISSY?,2010
normal,I place all your points one cultures module already.,2014
normal,Think I could stop by in like an hour or so? My roommate's looking to stock up for a trip,2012
normal,G.W.R,2010
normal,This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...,2014
normal,Yes. It's all innocent fun. O:-),2013
normal,So gd got free ice cream... I oso wan...,2010
normal,Happy valentines day I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...,2014
normal,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..",2012
normal,When you login date time... Dad fetching you home now?,2013
normal,"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word).",2011
normal,I'm sick !! I'm needy !! I want you !! *pouts* *stomps feet* Where are you ?! *pouts* *stomps feet* I want my slave !! I want him now !!,2012
normal, &lt;#&gt;  mins but i had to stop somewhere first.,2010
normal,See? I thought it all through,2011
normal,Where in abj are you serving. Are you staying with dad or alone.,2014
normal,How come she can get it? Should b quite diff to guess rite...,2011
fraud,tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,2014
normal,Haha... dont be angry with yourself... Take it as a practice for the real thing. =) ,2010
normal,But i'll b going 2 sch on mon. My sis need 2 take smth.,2010
normal,How much did ur hdd casing cost.,2011
fraud,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches,2015
fraud,Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Calls£1/minMobsmore LKPOBOX177HP51FL,2013
normal,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didn't shut that down.,2015
normal,Then dun wear jeans lor...,2011
normal,India have to take lead:),2014
normal,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.",2011
normal,He said i look pretty wif long hair wat. But i thk he's cutting quite short 4 me leh.,2012
normal,They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.,2012
normal,"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!",2012
normal,"Not for possession, especially not first offense",2014
normal,"Yo, the game almost over? Want to go to walmart soon",2010
normal,"Haven't seen my facebook, huh? Lol!",2013
normal,Is she replying. Has boye changed his phone number,2012
normal,"K I'm ready,  &lt;#&gt; ?",2015
fraud,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL,2014
normal,No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.,2011
normal,As in different styles?,2014
normal,Hey come online! Use msn... We are all there,2013
normal,How are you enjoying this semester? Take care brother.,2010
normal,"Me not waking up until 4 in the afternoon, sup",2011
normal,"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka? ",2012
normal,NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!,2014
normal,"Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt",2010
normal,Great. P diddy is my neighbor and comes for toothpaste every morning,2010
fraud,"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p",2013
normal,Eight hundred and eighty taka only.,2014
normal,No da..today also i forgot..,2011
fraud,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...",2015
normal,I doubt you could handle 5 times per night in any case...,2010
normal,Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.,2012
normal,"Party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more",2011
normal,"Not actually, I am going to spend this Puja with my family here in Kolkata. I am sure that will be so much fun. You are invited to my house in the Puja. I hope you will come.",2011
normal,you sure you can't take any sick time?,2012
normal,Are you the cutest girl in the world or what,2010
normal,"Abeg, make profit. But its a start. Are you using it to get sponsors for the next event?",2012
normal,Nice.nice.how is it working?,2014
normal,U wan 2 haf lunch i'm in da canteen now.,2010
fraud,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,2014
normal,I am not at all happy with what you saying or doing,2011
normal,It shall be fine. I have available now. Will hollalater,2015
normal,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody.",2012
normal,"Nah it's straight, if you can just bring but or drinks or something that's actually a little more useful than straight cash.",2010
normal,How are you doing? Hope you've settled in for the new school year. Just wishing you a great day,2011
normal,Oh I see. But Show me the new fare menu of the company and show me the notification.,2011
normal,You bad girl. I can still remember them,2013
normal,Yet understand i'm in class can you not run water on it to make it ok. Please now.,2014
normal,What is this 'hex' place you talk of? Explain!,2015
normal,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",2012
normal,"I’m cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.",2011
normal,Sindu got job in birla soft ..,2011
normal,"not that I know of, most people up here are still out of town",2011
normal,Yeah sure I'll leave in a min,2014
normal,"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.",2015
normal,Like a personal sized or what,2012
normal,Yes baby! We can study all the positions of the kama sutra.,2013
fraud,URGENT! We are trying to contact you. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,2013
normal,What’s the smell coming out from your mouth?,2012
normal,"Goodmorning, today i am late for 1hr.",2015
normal,"Sorry pa, i dont knw who ru pa?",2011
normal,Ya srsly better than yi tho,2015
normal,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,2010
normal,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?,2014
fraud,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B,2013
normal,I think i am disturbing her da,2012
fraud,"Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058097189 NOW all will be revealed. POBox 6, LS15HB 150p ",2014
normal,"That means you got an A in epi, she.s fine. She.s here now.",2013
normal,Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...,2014
normal,I have done well in mathematics but I could not do well in English. ,2015
normal,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...",2015
normal,"sry can't talk on phone, with parents",2014
normal,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,2013
normal,Was the farm open?,2013
normal,Then u go back urself lor...,2011
normal,first time..dhoni rocks...,2013
normal,Hey i've booked the 2 lessons on sun liao...,2014
normal,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8",2010
normal,Lol! Oops sorry! Have fun. ,2013
fraud,Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821,2014
fraud,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk",2013
normal,No dear i was sleeping :-P,2015
normal,I am not sure about night menu. . . I know only about noon menu,2014
normal,PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS),2010
normal,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again! ,2012
normal,Slaaaaave ! Where are you ? Must I summon you to me all the time now ? Don't you wish to come to me on your own anymore?,2013
normal,ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.,2012
normal,Oh my God. I'm almost home,2010
normal,If you are not coughing then its nothing,2014
normal,Just buy a pizza. Meat lovers or supreme. you get to pick.,2010
normal,Pete can you please ring meive hardly gotany credit,2015
normal,Right! To establish a peaceful society is their responsibility. They can also extend their helping hand to make the environment clean.,2015
normal,You have got a point. I’m also thinking to buy a pollution mask. What would you suggest?,2014
normal,Oic... Then better quickly go bathe n settle down...,2011
normal,So now my dad is gonna call after he gets out of work and ask all these crazy questions.,2010
normal,I understand the point that you are hinting at.,2011
normal,Do have a nice day today. I love you so dearly.,2014
normal,I thk 530 lor. But dunno can get tickets a not. Wat u doing now?,2013
normal,ITS A LAPTOP TAKE IT WITH YOU.,2015
normal,Here it is pasted behind the seat.,2013
normal,Meeting you is my work. . . Tell me when shall i do my work tomorrow,2014
normal,And of course you should make a stink!,2011
normal,I AM AT A PARTY WITH ALEX NICHOLS,2015
normal,Ok then u tell me wat time u coming later lor.,2014
normal,I thought slide is enough.,2012
normal,Doing my masters. When will you buy a bb cos i have for sale and how's bf,2014
normal,Yeah it's jus rite...,2010
normal,Hey you gave them your photo when you registered for driving ah? Tomorraw wanna meet at yck? ,2015
normal,Do you mind if I ask what happened? You don't have to say if it is uncomfortable.,2015
normal,Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march … ish!,2012
normal,on a Tuesday night r u 4 real,2012
normal,"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want",2012
normal,Big brother‘s really scraped the barrel with this shower of social misfits,2014
normal,That’s so sweet of you.,2010
normal,I send the print  outs da.,2011
normal,MMM ... Fuck .... Merry Christmas to me,2014
fraud,hello i am jojo from play rummy group u have won 10000 INR money to deposit it in your account please give your account number and debit card number.,2014
normal,Just now i came to hme da..,2011
normal,Hey what happen de. Are you alright.,2014
normal,Are u awake? Is there snow there?,2015
normal,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,2015
normal,Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...  ,2010
normal,"Until 545 lor... Ya, can go 4 dinner together...",2011
normal,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ...",2014
normal,That's my honeymoon outfit. :),2012
normal,Do you hide anythiing or keeping distance from me,2012
normal,Cancel cheyyamo?and get some money back?,2014
normal,No my mum went 2 dentist.,2013
normal,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",2014
normal,"Aight, tomorrow around  &lt;#&gt;  it is",2015
normal,Check with nuerologist.,2014
normal,"having illegal access to other social media accounts, computers, phones and laptops in order to steal personal information like pics, messages, passwords, etc.",2014
normal,How are you. Its been ages. How's abj,2013
normal,There are different kinds of books here. What kind of books you want?,2014
fraud,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,2013
normal,Eatin my lunch...,2012
normal,What happen to her tell the truth,2012
normal,This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.,2014
normal,Mum not going robinson already.,2010
normal,Good morning pookie pie! Lol hope I didn't wake u up,2013
normal,Total video converter free download type this in google search:),2012
normal,S:)s.nervous  &lt;#&gt; :),2011
normal,Aight should I just plan to come up later tonight?,2010
normal,Then what about further plan?,2014
normal,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOOD NIGHT",2015
normal,Hi happy birthday. Hi hi hi hi hi hi hi,2011
normal,Horrible gal. Me in sch doing some stuff. How come u got mc?,2013
fraud,Dear Subscriber your draw for £100 gift voucher will be entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062,2014
normal,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear",2013
fraud,We tried to contact you are your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,2014
fraud,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",2014
normal,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.,2014
normal,"All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!",2015
normal,As in i want custom officer discount oh.,2014
normal,.Please charge my mobile when you get up in morning.,2011
fraud,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,2014
normal,"The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel",2015
fraud,"hello sir, i am from paytm there are offer in paytm upgrade your account so you can enjoy better cashback offrs.",2013
normal,"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself together once this gets added to it.",2013
normal,"Jay told me already, will do",2011
normal,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?",2015
normal,In meeting da. I will call you,2015
normal,What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.,2010
normal,Where wuld I be without my baby? The thought alone mite break me and I don’t wanna go crazy but everyboy needs his lady xxxxxxxx,2015
normal,"Well, I’m sure you did great. Good luck.",2015
normal,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..,2014
normal,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....,2013
normal,Annoying isn't it.,2014
fraud,GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@£1.50rcvd,2013
normal,"Hey j! r u feeling any better, hopeSo hunny. i amnow feelin ill & ithink i may have tonsolitusaswell! damn iam layin in bedreal bored. lotsof luv me xxxx",2013
normal,Early bird! Any purchases yet?,2013
normal,Ok set let u noe e details later...,2014
normal,I donno if they are scorable,2012
fraud,Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM,2013
normal,Pls send me the correct name da.,2010
normal,"Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3. ",2012
normal,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!",2015
normal,There's no point hangin on to mr not right if he's not makin u happy,2015
normal,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",2012
normal,* You gonna ring this weekend or wot?,2012
normal,Wake me up at  &lt;#&gt;  am morning:),2012
normal,Call to the number which is available in appointment. And ask to connect the call to waheed fathima.,2013
normal,"Aight fuck it, I'll get it later",2013
fraud,to get 1000 INR voucher please call on 889865556178.,2015
normal,"And that's fine, I got enough bud to last most of the night at least",2011
normal,Ok lor thanx... Ü in school?,2012
normal,I'm freezing and craving ice. Fml,2012
normal,Sir I have checked and everything seems to be right.,2014
normal,"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!",2015
fraud,URGENT! We are trying to contact U Todays draw shows that you have won a £800 prize GUARANTEED. ,2015
normal,Tired. I haven't slept well the past few nights.,2012
normal,"No I'm good for the movie, is it ok if I leave in an hourish?",2014
normal,PICK UR FONE UP NOW U DUMB?,2012
normal,Ok...,2015
fraud,"Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm",2013
normal,thanks for the temales it was wonderful. Thank. Have a great week.,2015
normal,"No sir, we don’t have ‘special of the day’ here.",2014
normal,Even i cant close my eyes you are in me our vava playing umma :-D,2012
normal,"We are at grandmas. Oh dear, you still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.",2015
normal,have got * few things to do. may be in * pub later.,2013
normal,If you r @ home then come down within 5 min,2014
normal,Be sure to check your yahoo email. We sent photos yesterday,2013
normal,"We are hoping to get away by 7, from Langport. You still up for town tonight?",2014
normal,Oh dang! I didn't mean o send that to you! Lol!,2014
normal,"Sorry, I'll call later",2013
normal,S now only i took tablets . Reaction morning only.,2013
fraud,Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + £200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com,2013
normal,Oh:)as usual vijay film or its different?,2012
normal,"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u ",2013
normal,Y so late but i need to go n get da laptop...,2015
normal,Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.,2012
normal,"It‘s reassuring, in this crazy world.",2012
normal,You made my day. Do have a great day too.,2012
normal,Anything lar...,2010
normal,I'm aight. Wat's happening on your side.,2014
normal,You said to me before i went back to bed that you can't sleep for anything.,2012
normal,We have all rounder:)so not required:),2012
normal,Thats cool. How was your day?,2012
normal,What are the newspapers available here? ,2014
normal,Message:some text missing Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,2013
normal,Can ü call me at 10:10 to make sure dat i've woken up...,2010
fraud,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone,2014
normal,"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with",2012
normal,Think + da. You wil do.,2012
